comment,emotion,polarity
É banha de cozinha?,neutral,negativo
Maravilhosa ❤️❤️,neutral,positivo
Gratidão,neutral,positivo
Onde se compra o material para confecção das velas?,neutral,negativo
Estou assistindo pela primeira vez mais achei maravilhoso.,neutral,positivo
"Amei! Achei incrível, lindíssimas e bem mais fácil do que eu imaginei que seria!",anger,positivo
"conheci vc hj, amei,,,vc é muito simpático, agradável. Bjsss ....Obg",fear,positivo
É possível usar oleato de vegetais no lugar da essência?,disgust,negativo
"Nossa amei esse vídeo! Muito bem feito, tudo muito bem explicado, bonito e com riqueza de detalhes :) merece o mundo!",joy,positivo
Onde  compro esses produtos?,neutral,negativo
Boa tarde <br>Tem que ser panela esmaltada?,neutral,neutro
Amei 🥰. Obrigado 🙏🏼,neutral,positivo
Adorei o vídeo <br>sou artista de lettering e queria fazer uma vela transparente com uma arte dentro alguma sugestão?,neutral,positivo
"Cada dia tenho me encantado mais com suas técnicas, talento e brilho pessoal. Parabéns. Estou dando meus primeiros passos, estudando, planejando, arriscando, errando e acertando. Grande abraço.",neutral,positivo
Arrasou!!!!,surprise,negativo
"Amei a aula , você  é  demais em seus trabalhos,  parabéns.",neutral,positivo
Lentilha branca,neutral,neutro
Vc arrasou. Eu quero fazer pra vender,neutral,negativo
"Muito Show! Lindas, encantadoras essas velas, e você Peter é D+ de bom",joy,positivo
Ameiiii<br>Posso colocar flores naturais sem ser desidratada?,neutral,neutro
Perfeitas ..amo seu trabalho ..fico encantada! Vc é show ! Parabéns!!,joy,positivo
Podemos usar óleos essenciais nas velas?,neutral,negativo
Peter você é  o melhor sempre!,anger,positivo
Vc é genio Peter...amei,neutral,positivo
Eu gostei muito t assistindo todos os vídeos,neutral,positivo
Como a gente faz para participar das aulas,neutral,positivo
Maravilhoso,neutral,positivo
"Amei essa vela; meu Deus, nunca vi nada parecidoooo, nem sabia q existia.<br>Vou fazer! Parabéns pela aula.",neutral,negativo
Lindo muito lindo,neutral,positivo
Demostração como a sua é difícil 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 obrigada.,neutral,neutro
A redonda qual valor venderia ?,neutral,negativo
Peter assim hoje e vou fazer muito bem explicado 🙂 grata 🥰,neutral,positivo
Piter você é fantástico ❤,neutral,positivo
"Salve Peter, muito bom vídeo! Gostaria de saber seu e-mail para proposta comercial.",neutral,positivo
"Essa aula foi mil, parabéns!😘🌹",neutral,negativo
"Eu agradeço  por conhecer  esses trabalhos  tão  maravilhoso, muito perfumado,quero aprender  fazer,onde comprar  os materiais.",neutral,positivo
"Olá Peter, parabéns seu trabalho. É totalmente incrível. Fiz essa vela que tem o copo de shot dentro, porém quando queimei tudo da outra parte derreteu. E ficou tudo queimado. Ainda não entendi oq aconteceu, se caso tenha acontecido com você poderia me informar?",neutral,negativo
Oi Piter quantos graus para envase da parafina gel e da parafina de soja mais apropriado?,neutral,neutro
Posso usar resina no lugar desse gel?,neutral,negativo
maravilhoso você meu querido. Amei a aula.,neutral,positivo
Vídeo maravilhosoooooo! O melhor que já assisti. Parabéns! 👏👏👏👏🏆😘,joy,positivo
Amei e já vou providenciar o material.,disgust,positivo
Adorei! Muitas dicas.💖💖💖,neutral,positivo
Sempre tudo muito lindo <br>Amei,neutral,positivo
Adorei sua aula e super dicas vc é oh Cara 😘😘😘,neutral,positivo
Pena que só pode ser um like muito lindo seus trabalhos parabéns 🙌🙌🙌,neutral,negativo
Amei!!!Não conhecia!!,surprise,negativo
"Gostei mto, vou experimentar fazer, vou devagarinho, mas vou aprender! Fica com Deus, e BjoBjo💖 de vó",joy,positivo
Amei a aula!! Vcs dão curso presencial?,surprise,negativo
amei ja vou começar a treinar,joy,positivo
Adorei vou tentar fazer obgda ❤️,joy,positivo
Ola  piter  bom dia  &quot;  piter  amo  seus  sabonetes  &#39; e  agora  faz  velas?  Pode  por  flores de  violetas  d  verdade? Rosas,surprise,neutro
Amo você.  Suas aulas são perfeitas. Você é detalhista. É difícil aulas com detalhes e dicas incríveis. 💝,disgust,positivo
"Adorei suas dicas , parabéns pelo trabalho",neutral,positivo
Assistindo em Setembro 2021... Isso é uma terapia ❤️,neutral,positivo
Amei e vc é bem didático. Eu estudo aromaterapia e sempre quis aprender a fazer velas. Sensacional. Top. Bjs,neutral,positivo
"Ola Peter, adorei esta aula, sou Portuguesa e claro vivo em Portugal, e gosto muito de perfumar a casa com velas, e não sabia como fazer, estou grata por me ensinar algo que eu adoro.<br>Beijinhos, obrigada.",anger,positivo
Ameiii vc é fantástico,joy,positivo
Vc é uma gracinha! Vídeo completo! Obrigada demais seu lindo 😍,anger,positivo
Muito lindo ameiii  sou do Sul,neutral,positivo
"Nossa muito lindo seus produtos, muito obrigada por compartilhar seu conhecimento... Peter aproveito para questionar, como saber qual vidro (copo, pote, etc...) poderei usar para velas? quanto tempo aceso com margem de segurança de velas em vidros? Tem vidros espaciais para diferentes tipos de parafina e pavio? Aguardo seu retorno, e mais uma vez GRATIDÃO por dar um pouquinho do seu tempo e conhecimento!",neutral,negativo
Gostaria de aprender,neutral,neutro
Me escrevi no canal e estou amando 👏👏👏👏🥰🥰,neutral,positivo
vou começa fazer  pra mim depois eu vou começa a vender,anger,negativo
maravilhoso,neutral,positivo
Super amei e quero saber onde encontro  os ingredientes para comprar. Minha região é pobre de velas e eu amo ❤,fear,positivo
Obrigada Peter. Otima aula. O problema que eu tenho é que as que faço aqui não são tão cheirosas quanto a Yankee ou a Salt City americana. Alguma dica nesse sentido? Obrigadão!,neutral,neutro
"O conheci na tv,contínuas o mesmo fofo e baita profissional, Parabéns Peter <br>Deus o abençoe.<br>Bjsx.<br>Saúde Paz e Luz 😘💕",neutral,positivo
Parabéns vc e uma simpatia!!!,neutral,positivo
Nossa vc é top. Gratidão. Abençoado sejas!,neutral,positivo
COMO TRABALHO COM RESINA LÍQUIDA????,neutral,negativo
"Ei peter, adoro os seus vídeos e já vendi bastante velas. Mas essa com gel, posso colocar menos essências, é isso?<br>Gratidão meu querido!🙏🏼💙",neutral,positivo
Muito bom. Gratidão por inspirar quem quer fazer algo diferente do tradicional. Trabalho digno  e com seriedade.,disgust,positivo
"Vídeo muito bem explicado, <br>Sou apaixonada por vela transparente. <br>Amei",neutral,positivo
"Amei, preciso fazer um presente e será essa linda vela. Grattidão.",neutral,positivo
"Adorei, gostaria de dicas aonde comprar os produtos. Moro em Nova Iguaçu-RJ.",neutral,positivo
Tou aprendendo a fazer agora tou gostando muito,neutral,positivo
Que lindo Peter parabéns,neutral,positivo
Gostei muito!!!,neutral,positivo
Show….Não colocou cheirinho na vela que leva o tubo de vidro…..,neutral,negativo
"muiiito bom, super bem explicado.",neutral,positivo
Sou nova no canal .Estou amando !😍,neutral,positivo
Adorei sua aula! Estou pensando seriamente em entrar neste campo!,neutral,positivo
Maravilhosa!!!!!!,surprise,positivo
Bom dia. Gostaria de saber pq minha vela em gel faz bolha,neutral,positivo
Peter seu fofooo<br>Obrigado,neutral,neutro
"Peter,muito linda suas velas.<br>Vou fazer essa. .Voce explica muito bem👏👏👏",neutral,neutro
Amei! Doida pra começar a fazer😍,joy,negativo
Estava escrito ali &quot;colocar essência ao derreter a parafina  gel &quot;???<br>Então  minha dúvida é: A parafina gel não espero  esfriar??? <br>Ou li ERRADO???  OBRIGADA,surprise,negativo
Que legal ❤️ você explica com muita paciência ❤️ obrigada Piter ❤️,neutral,positivo
Sensacional. Ameii. Que organização maravilhosa. Encantada. Emocionante. Felicidades,neutral,positivo
Amei parabéns,neutral,neutro
Muito bom 👏👏,neutral,positivo
Super<br>Obrigado,neutral,positivo
Primeira vez que assisto os seus vídeos sobre como fazer formas com silicone e gostaria de saber se seria possível fazer velas nessas formas. Por gentileza poderia me responder.,anger,negativo
Amei a parado na cristal. Muito linda. Muito obrigada!!! 👏👏👏,neutral,positivo
Poderia fazer tudo direto do comeso ao fim ?,fear,negativo
Como sempre uma simpatia contagiante. Adoro suas explicações.,neutral,positivo
"Oi Piter  eu preciso  de fazer pr venda.como comprar.  Não  consigo  comprar  pela internet. ,vocês  poderiam  me indicar  como  comprar  pela  loja  da zona  norte  que  foi  sempre  muito  fácil  para mim  por favor  me ajude  fique  viúva estou  precisando  muito do meu trabalho  vocês  sempre  foram  muito  atencioso pr comigo  muito  obrigada  sempre  Piter 🙏🙏🙏🙏❤",fear,positivo
Maravilhoso!!! Parabéns!!👏👏👏👏,neutral,positivo
Amei sua aula primeira vez q assistir  amei,fear,positivo
"Passa por gentileza a sua lojinha como vc diz, rs quero fazer uma visita. Amei as dicas",neutral,negativo
"Quero comprar vela comum e durável para ocasião de apagão. Quem souber qual e onde eu posso encontrar, agradeço!<br>Ótimo vídeo 👌",anger,positivo
Estou amando aprender fazer felás,neutral,positivo
Amei tua aula vc ensina muito bem 👏👏👏👏,neutral,positivo
Te conheço  há  anos das redes sócias.  Maravilhoso. Bela aula . Obrigada. <br>.,neutral,positivo
Peter a primeira vela q vc fez em vez de usar lentilhas de soja ..pode-se usar a mesma parafina perfumada que foi usado na segunda vela ?,neutral,negativo
Ficaram lindas. Adorei. Gratidão!,joy,positivo
Poço mistura gordura vegetal em parafina normal?,neutral,negativo
Amei suas dicas.,neutral,neutro
Posso usar oleo essencial como essencia?,neutral,neutro
São lindas! Amei❤️,joy,positivo
"Gratidão pelas aulas , cheguei aqui hoje, já mim escrevi no canal.",anger,positivo
"Boa tarde Peter! Cara me tira uma dúvida! Essa vela com grânulos que vc fez primeiro, não é perfumada?",surprise,negativo
"Adorei! Mas já procurei a gel e não encontro no Rio, vc poderia me dizer onde encontro?",neutral,positivo
"Peter, estou simplesmente apaixonada! eu fiz um cursinho básico e me apaixonei por esse mundo das velas.Mas agora, com vc estou descobrindo um leque de opções e técnicas.Parabéns.<br>Tenho duvida em relação ás velas flutuantes, aquelas pequenas feitas com parafina batida, eu devo usar ilhois? elas morrem muito rápido,o que pode ser?<br>Faço as de coração flutuantes...os clientes amam.<br>Ah outra duvida, posso usar a gordura vegetal na parafina de petróleo?<br>Obrigada mil e uma vezes! Voce passa uma energia, uma vibração incrível, que somente um ser de luz é capaz, Deus te abençõe e ilumine cada vez mais! !  beijos",neutral,positivo
Gratidão ❤️💞,neutral,positivo
Alguém vendo agora sabe me dizer se posso usar óleo essencial da via aroma para fazer velas?,neutral,negativo
"Comecei a ver os seus vídeos por curiosidades e hoje estou começando minha produção de velas na minha cidade, muito obrigado por compartilhar seu conhecimento conosco 🙏❤️",neutral,positivo
"Seu conteúdo é super rico, parabéns!!! Sucesso (:",joy,positivo
Maravilhosa Adoro vc !,neutral,positivo
"você é maravilhoso em tudo que faz parabéns,que Deus te ilumine sempre",neutral,positivo
Adorei que massa e não é tão difícil de fazer não beijo e obrigada,anger,positivo
Podemos usar óleo essêncial ?,neutral,negativo
Muito lindo adorei.. obrigada por ensinar🙏🌟💕,neutral,positivo
"Parabéns Peter,amo ,suas vela!<br>Entra em contato comigo,por favor.",neutral,negativo
"Boa noite,em Vitoria onde gompro esse material?",neutral,neutro
Não  ensinou direito a derreter a parafina de soja nem mistura E os ingredientes em nenhuma aula,fear,negativo
Amei... Muito obrigada 😍,neutral,positivo
Como faz p comprar,neutral,positivo
Amei todas as dicas!,surprise,positivo
"Peter, posso colocar essência na parafina em gel?",neutral,negativo
aula maravilhosa,neutral,positivo
Peter na vela com refil no meio ela não fica perfumada né? A não ser que coloquemos essência,neutral,negativo
Demaaais!!! Como tudo que vc faaazzz!!! 🤩,joy,negativo
Muito lindo... Nunca fiz velas...tenho te assistido... Adorei ! Vou fazer para presentear.,neutral,positivo
Ensina para gente a vela flutuante para hidromassagem? Ou é a mesma coisa que a normal,neutral,neutro
Lindissima gratidão❤❤❤💛💚,neutral,positivo
Eu amei lindas gostaria de fazer o cursso,neutral,negativo
Maravilhoso 😍,neutral,positivo
Muita sabedoria... Parabéns Peter Paiva,neutral,neutro
Simplesmente maravilhosa aula 👏👏👏👏👏,neutral,positivo
"Peter.... E as velas em outros formatos? Vejo muitas sem base ou vidros. A vela por si só, com faz?",neutral,negativo
"Adorei sua aula muito clara, sem complicação pra quem está no comecinho como eu , obrigada!!! 😊",neutral,positivo
"Amo velas, e estou adorando os seus vídeos ❤️",neutral,positivo
Já sou escrita e escrito,neutral,positivo
Eu quero comprar por favor onde eu encontro?,neutral,negativo
"Vc é um amor, um lindo abençoado por Deus!",anger,positivo
"Tô  doida prá começar a fazerinhas velas. Obrigada pela  sua  ajuda, beijos.",disgust,positivo
Nossa eu amei demaiiis!!❤❤❤❤❤gratidão!!🌷🌷🌷,anger,positivo
Vc e muito bom no que faz,neutral,positivo
Estou aprendendo pra poder ser uma fonte de renda. Primeira vez no seu canal. Vou visitar sua loja.,neutral,positivo
Amei as dicas de velas,neutral,neutro
Adoro as dicas minhas velas sempre afunda  agora com essa dica adorei,neutral,positivo
Posso usar óleo essencial no lugar da essência??,neutral,negativo
Que trabalho lindo ❤️,neutral,positivo
"Peter, a parafina gel e a mesma temperatura da base, ou muda.",neutral,negativo
Dúvida não da pra ter... por que vc é maravilhoso ❤️❤️❤️ obrigado,neutral,positivo
"Posso usar a parafina gel cristal,tentei fazer ,mas achei que ela não endurece..ou tenho que misturar c a gel Q não é cristal?",neutral,negativo
"Ameeei!!! Muitíssimo Obrigada, pelas dicas que valem ouro. Vc é fantástico.👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",neutral,positivo
Nossa amei vc!! Amei sua dica. Perfeito!!! Vou fazer para um jantar romântico á luz de velas,anger,positivo
Adorei essa aula,neutral,positivo
Amei!! Vc é ótimos e ainda dá excelentes dicas. Parabéns e que Deus continue te abençoando🙏🥰,joy,positivo
Na parte debaixo da vela no lugar das flores pode ser glitter ou pérola?,neutral,negativo
Amei  .😍 👏👏👏. Gratidão por compartilhar.  😊,anger,positivo
Peter qto custa essa parafina transparente obrigada .,neutral,positivo
"Peter onde encontra para comprar a sua formas de alumínio número 6 ou 8 ,para fazer velas ou sabonetes , obrigada.",neutral,positivo
"Eu quero estar lhe acompanhando sempre, amigo!!!<br>Estou feliz em estar com voce, no seu canal.",neutral,positivo
Vc é  demais,neutral,neutro
"<a href=""https://www.youtube.com/watch?v=ErMnXB0b_1Y&amp;t=103"">1:43</a> CHOCADA! Meu copo é igualiznho!",neutral,negativo
Maravilhosa. 🥰,neutral,positivo
"Posso usar nesta técnica,  a parafina normal no lugar da de soja ?<br>Amei o teu vídeo,  bravo!!!!",joy,negativo
Peter vc é o máximo ! Sou sua fã desde de sempre.  Sou apaixonadíssima por velas ! Te acompanhava nós programas de tv quando vc ia. Os seus sabonetes também são divinos . Um mais lindo que o outro. A parafina  achei que encareceu de uns tempo pra cá. Gosto de fazer pra mim e para presentear.  E profissional só vc mesmo !!!!! Não tem pra ninguém. O problema é o custo de todo material que não sai barato prá se fazer uma coisa bem feita. Fique com Deus . Parabéns por nós proporcionar tantas coisas lindas e por ser um artesão completo. Um grande beijo.,joy,positivo
Adorei. Vou começar à fazer,neutral,positivo
"Arrasou!!! Parabéns!!! Estou tentando começar a fazer. Preciso de formas, essência, corante, estearina e fixador, não estou encontrando onde eu moro e essas que você fez é mais difícil ainda.",surprise,negativo
"Top d +!!! Estou encantada, obrigada por compartir sus sabedoria com a gente.",neutral,positivo
"Piter, só pode a de soja, ou dá para fazer com parafina de vela comum?",neutral,negativo
Qual a marca da essência ???,neutral,negativo
Gostei mas ainda não  estou pronta como consigo mais informação,neutral,neutro
Muito bom.<br>Deixa te perguntar... Como bater parafina pra dar acabamento igual espuma?<br>Grato. Parabéns.,neutral,positivo
"Nossa amei a dica, mas não estou encontrando a gordura na minha cidade. Será que tem como substituí-la",neutral,neutro
"Ameiiii...vc é  um fofo, ensina super bem e nos motiva. Isso não tem preço!!🙏🏻🙌🏼👏👏",neutral,positivo
Velas para massagem relaxante,joy,positivo
Onde poço encontra os produtos,neutral,negativo
Vc e demais,neutral,neutro
Maravilha Sua dica da gordura...amei!!!,surprise,positivo
"Peter, Bom dia! Estou em Portugal e quero avançar com esse mesmo projeto. Já fiz esse tipo de trabalho a mais de 10 anos no Rio de Janeiro e deu super certo. Quero ajuda...",neutral,positivo
Amo assistir seus vídeos.  Como tenho aprendido.,neutral,positivo
"Obrigada pelas dicas, você é demais 👏🙏😍",neutral,positivo
Estou assistindo seus  vídeos. Preciso comprar as essencias potes,neutral,positivo
Maravilha bom demais mesmo que lindo seu trabalho parabéns,neutral,positivo
Maravilha! Muito bom Peter Paiva você é 10. Só não entendo como alguém  da deslike bom vídeo desse. Só pode se inveja.,neutral,positivo
Adorooooo eu quero fazer pra usar e vender tbm  vc tem kits pra começar o negócio?<br>Preço pra vender . Quais o materiais que preciso pra começar . Bjuuu,neutral,positivo
Amei !! Lindo demais !!,neutral,negativo
Essa gordura vegetal é própria para velas ou normal de mercado,neutral,positivo
Amei seu trabalho. Vc é um fofo,neutral,negativo
"não sei como as pessoas pulam o vídeo, cada parte é importante,ele ensina muito, além da simpatia!",neutral,positivo
Olá... boa noite ...,neutral,positivo
"amei  ,adorei ter te encontrado  estou aprendendo muito com vc",neutral,positivo
Arrasou Peter!,surprise,positivo
Quando é colocado as flores em baixo quando acaba a parafina elas não pegam fogo?,neutral,negativo
Não tem como não aprender com você 😃. Você é o melhor professor do mundo ❤️,neutral,negativo
Vc recomenda onde comprar essências?,neutral,neutro
Parabéns! Amei.,neutral,positivo
"Top demais!!! Ainda estou estudando sobre as velas mas logo irei lançar na minha loja as velas aromáticas, você é incrível e obrigada por compartilhar seu conhecimento 😍 assim que lançar irei te marcar pra você da uma olhada e like kkkkk",anger,positivo
Quero ver a quadrada.,neutral,neutro
Lindíssimas . Am,neutral,positivo
Aula maravilhosa!!!!!!!!,neutral,positivo
Tem um video sobre como derreter os elementos,neutral,neutro
"Vc é espetacular, suas explicações são fáceis de assimilar, show",neutral,positivo
"Onde comprar as parafinas,  pavil etc etc",neutral,positivo
"Amei, agora preciso saber onde comprar estes materiai",neutral,positivo
Faltou acender e mostrar como faz pra trocar o refil,neutral,neutro
Maravigold!!. Vc é show parabéns 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,joy,positivo
"Show de bola. Quero começar nesse ramo, o que você me indica? Tem cursos on LINE?",neutral,negativo
Pode ser a de plástico,neutral,neutro
Peter a flor pode ser outro sem ser de tecido,neutral,negativo
Vc é  SIMPLISMENTE  ... UM ESPETÁCULO!!,neutral,positivo
Eu amei gostaria de fazer curso completo de vela e aonde compra os materiais e cm faço pra vender,neutral,negativo
Muito bom obrigada,neutral,positivo
Você é maravilhoso,neutral,positivo
"Bonitas mesmo! Mas a dúvida é:  a parafina lentilhada ao derreter  rápido e vai diminuir e ficar pela metade no copo, não vai ficar estranho? Obrigada!",anger,neutro
"É primeira vez que vejo seu vídeo , foi paixão a primeira vista , amei suas dicas , vou continuar vendo , pois quero fazer muitas velas bjs parabéns",joy,positivo
"Tô apaixonada.Lindas demais, Parabéns!Estava procurando algo para me dedicar.",neutral,positivo
Achei o máximo!  Quero aprender a embalar para enviar!,anger,positivo
"Meu deus, eu to apaixonada!!! Já quero começar a fazer as minhas (uso próprio e presentes)",joy,positivo
Adorei,neutral,positivo
Maravilhosos...quero fazer...,neutral,positivo
"Q legal seus vídeos,eu posso usar flores naturais?",neutral,negativo
Gostei e gosto muito das super aulas sua.,neutral,positivo
Sou xonada por você!❤️❤️❤️❤️ Qual a parafina que você usa? E essa gordura?<br>Qual é? 😘😘😘😘😘😘😘😘,fear,negativo
Estou cada vez mais me apaixonando por velas. Vídeo incríveeeel,fear,negativo
Gostei muito!,anger,positivo
"Arrasou, amei ♥️",neutral,positivo
"Parabéns Peter!! Estou querendo aprender, sou uma iniciante, e adorei seu trabalho e seu jeito de ensinar, parabéns!!",joy,positivo
"Lindaáaaas,amoo ,vc e fantastico",joy,positivo
Parabéns Piter. Tudo maravilhoso...,neutral,positivo
Muito boa a vídeo aula. Parabéns pelo canal.,disgust,positivo
Pq usar a gordura na parafina? Obrigada,neutral,neutro
Porque é necessário colocar a gordura vegetal junto com a parafina?,neutral,negativo
Maravilhoso! Amei,surprise,positivo
"Me perdoe,NÃO gosta do termômetro?",neutral,negativo
"Lindo seu trabalho, vc já gosta do termômetro?",neutral,neutro
Moro em foz do Iguaçu Peter e vou fazer p mim e p vender,joy,negativo
"Peter, para fazer a vela sempre é necessário colocar a banha.",neutral,positivo
Perfeito!! Parabéns ❤️❤️,joy,positivo
Boa tarde Peter! Gostaria de saber porque.minha vela.caseira pega fogo? Mal derrete vai logo pegando fogo. O que fazer pra.não acontecer mais? Gratq,neutral,negativo
Aeeee muito bom 👏👏👏👏✨✨✨amei arrasou 🌸🌸🌸🌸,neutral,positivo
todos os materiais encontro onde ?  A parafina lentilhada compro no mesmo lugar?,neutral,negativo
Sensacional! Fiz uma mega compra na loja Aromas do Rei e não fazia idéia de como começar! Parabéns! 🤩,joy,positivo
Com a parafina comum da certo ou tem que ser de soja?,neutral,neutro
eu adorei a aula...  confesso q ja tinha tentado fazer algumas velas anteriormente e deram muito errado. 😊😂😂 <br>vc é demais Peter. to aprendendo muito 💕💕💕,neutral,positivo
Você é maravilhoso Peter 😍,neutral,positivo
Muito bom👍,neutral,positivo
Gratidao por compartilhar seus conhecimentos conosco. Bj,neutral,positivo
MAGNÍFICOO!!!,neutral,positivo
vc vende prontas assim?,neutral,negativo
Pode misturar mais de uma essencia até dar a quantidade certa?,neutral,neutro
Adorei sua aula parabéns Deus abençoe vc meu querido super aula,neutral,positivo
Onde encontrar essas parafinas e nessa que tem o copo fino no meio o que é esses granulado?,neutral,negativo
Que aula maravilhosa  amei,neutral,positivo
To amando já vou fazer minhas velas pra vender ❤️😻,joy,negativo
tem como fazer sem a gordura vegetal?,neutral,negativo
Adorei obrigada. Bom dia,neutral,positivo
"Peter, além de estar totalmente hipnotizada pelas suas explicações, penso que vai ser muito legal fazer velas pra dessestressar nesses meses de isolamento.Muito obrigada.bjs",anger,negativo
"Maravilha,  AMEI.",neutral,positivo
Amei. Vou tentar fazer. Muito obrigada. Bjs,neutral,positivo
Boa noite! Posso usar a parafina plus com a gordura vegetal ?? Grata,neutral,positivo
Adorei  você  é  excelente  professor!,anger,positivo
Top de mais  maravilhosas,neutral,positivo
Amei! Você é um ótimo professor! 😄,joy,positivo
Amei vc e maravilhoso nas dicas 👏👏👏🤩,neutral,positivo
Adorei a aula e você também,neutral,positivo
E de  que é feita as florzinhas?,neutral,negativo
"Adorei muito, bem explicado vou fazer.<br>Bjsss obrigada 🙏😘",neutral,positivo
Gente inteligente é outro nível ❤❤❤,fear,positivo
"Eu não entendi a parafina em gel, a parafina transparente é a mistura da parafina vegetal mais a gordura vegetal?",neutral,negativo
"vc dá várias dicas , e estou amando . Continue assim",neutral,positivo
amei vou fazer para vender,neutral,negativo
Maravilha!,surprise,positivo
Amei vc é um exelente instrutor,neutral,positivo
Como faço para comprar,neutral,positivo
"Maravilha,fazer velas com você",anger,positivo
Como faço para comprar essas essenciais para a vela,neutral,positivo
Muito linda parabéns,neutral,negativo
Nossa que lindas,neutral,positivo
"Gratidão,  amei! Vc é muito simpático 😍",anger,positivo
Aula maravilhosa! Amei!!,joy,positivo
"Boa noite, o que fazer para a vela de soja não amarelar",neutral,positivo
Qual a referencia desse vidro oval e do refil para eu comprar no armazém Peter Paiva?,neutral,negativo
"Peter, sou super fã sua e do seu trabalho. Pretendo me aventurar a fazer velas pra casa. Se eu for na sua loja tem quem me oriente sobre o que preciso comprar pra iniciar?",neutral,positivo
Peter eu gostaria de saber se garrafa de whisky pode servir para colocar a parafina quente e se transformar em vela .obg,neutral,neutro
"Peter , vc é um amor ! Adorei !!! Obrigada...",joy,positivo
"ola Peter  boa tarde, vc poderia,me dizer porque o pavio  das minhas velas de parafina em gel estao entortando ??? nao ficam centralizados mesmo eu fazendo uma base de parafina de soja para posicionar . deixei com o rachi 5 dias , quando retiro a parte de cima vai para lateral do copo .",neutral,negativo
"Parabéns!!! Seu melhor inspira as melhores essências.  Perfuma o ambiente, a alma. Parabéns ao repartir conhecimento.  Um cheiroooo com carinho.",joy,positivo
Maravilhoso,neutral,positivo
Maravilha !!! Linda demais .,surprise,positivo
fiz um curso básico de velas <br>fui pesquisar e encontrei Peter Paiva <br>estou amando as dicas <br>🥰🥰🥰🥰,neutral,positivo
"Como deixar a vela bem perfumada, para quando acender ficar o ambiente perfumado",neutral,neutro
Amei muito bacana!,neutral,negativo
Adorei as dicas Boa noite,neutral,positivo
Amei muito bom,neutral,positivo
muito lindas a meia você é muito bom o beijos,neutral,negativo
"Estou começando agora, com curso agendado, porém achei prático e super fácil!!!",anger,positivo
Estou começando e te encontrei de cara. Qui dimais.....,neutral,negativo
Obrigada por tudo isso  !!!!!!👍😍🙏,neutral,positivo
Estou. Começando agora e vc minha inspiração 💓 onde encotrar essência e pavio,joy,positivo
Peter qual o tipo de gordura vegetal você usa? Não estou encontrando,neutral,negativo
amei... vou tentar fazer... muito obrigada!!!!,joy,positivo
"Lindasssss <br>Parabéns,amei a aula super explicação 😃😃😃",neutral,positivo
Alguém sabe se o vídeo de fora pode colocar copo de plástico? ou derrete?,neutral,negativo
Amei....com café como é,neutral,positivo
Maravilhada vim essa técnica.<br>Gratidão por compartilhar😘,neutral,positivo
"todas as Velas que eu faço fica com buracos no meio quando endorece voce sabe dizer o que devo fazer para evitar isso,?",neutral,negativo
"Amo todas as suas aulas, vc explica super bem. Deus abençõe vc e sua equipe 🙏❤️🌺",neutral,positivo
Como faço  velas palito que não escorrem ou fica pingando?,neutral,negativo
Oi  boa  noite  ficou  lindos  parabéns      ..gratidão,neutral,positivo
Obrigada  Peter vc arrasa. Gostaria se possível vc desse sugestões de preços.  Obrigada,anger,negativo
Maravilhoso. A minha ficou linda,neutral,positivo
"Essa parafina lentilhada também é  de soja???? Como sempre ru fala em parafina de soja,fiquei meio na dúvida, obrigada",surprise,negativo
Gente vc é um docinho!,anger,negativo
Amei sua aula parabéns 💕,neutral,positivo
Pode usar óleo essencial como essência? Tipo lavanda que é bom pra acalmar o ambiente,neutral,neutro
Obrigada  adorei,neutral,positivo
"Amei Peter, seu trabalho é maravilhoso e abençoado!<br>Deus te ilumine , sempre!🙏🏻👏👏👏👏🌻😘",joy,positivo
Amei muito obrigado Deus abençoe o trabalho de suas mãos sempreee 😘,neutral,positivo
Quero comecar a fazer pode da dica da compra do material?,neutral,negativo
"Quando usei vela de gel,pegou fogo em toda a borda do copo.",neutral,negativo
"Peter lindooo, acompanho seu trabalho desde os tempos do Note e Anote.",neutral,positivo
"ola Peter, estou conhecendo seu canal hoje, senti no coracao de aprender sobre velas e achei voce. gratidao por esse video, amei!",anger,positivo
"Adorei muito lindas, fiquei com uma dúvida. A que fez com a parafina gel primeiro as flores não  vão queimar?",neutral,positivo
"Amei a dica ,muito lindas as velas 😍",neutral,negativo
AMOOOO vc adorei,surprise,positivo
A vela e linda e o aeee já nos anima ❤️😘,fear,positivo
Adorei!! Parabéns por compartilhar seus conhecimentos,neutral,positivo
AMÉI  fiquei muito  feliz  em aprender  obrigada,joy,positivo
Eu amo as suas dicas,neutral,positivo
Como eu faço pra derreter o gel,disgust,positivo
Amei obrigada  pela dica foi maravilhoso parabéns ♥️😍👏👏👏👏👏👏👏👏👏👏👏,neutral,positivo
Adorei! Teria como derreter dentro do vidro e no banho Maria?,surprise,positivo
Peter essa última que vc fez posso fazer o fundo e depois envés de colocar oque vc colocou posso colocar a lentilhada,anger,negativo
o fogo nao quebra o vidro?,neutral,negativo
Porque ninhas velas não ficam transparente aparecendo os quadradinhos e corações,neutral,negativo
Posso colocar essência ai,neutral,neutro
